Amplitude,1 Back,1 Forward,RR,HR back,HR,HR After,TYPE
-0.08,0.075,0.07,0.7583333333333333,162,79,73,0
0.07,-0.08,-0.085,0.8138888888888889,79,73,64,0
-0.085,0.07,-0.18,0.9305555555555556,73,64,70,0
-0.18,-0.085,-0.02,0.8472222222222222,64,70,75,0
-0.02,-0.18,-0.395,0.7916666666666666,70,75,76,0
-0.395,-0.02,-0.4,0.7888888888888889,75,76,75,0
-0.4,-0.395,0.04,0.8,76,75,78,0
0.04,-0.4,-0.305,0.7666666666666667,75,78,73,0
-0.305,0.04,0.095,0.8166666666666667,78,73,71,0
0.095,-0.305,-0.285,0.8361111111111111,73,71,70,0
-0.285,0.095,-0.39,0.8555555555555555,71,70,73,0
-0.39,-0.285,-0.055,0.8111111111111111,70,73,73,0
-0.055,-0.39,-0.35,0.8111111111111111,73,73,74,0
-0.35,-0.055,-0.07,0.8027777777777778,73,74,80,0
-0.07,-0.35,-0.295,0.7416666666666667,74,80,77,0
-0.295,-0.07,0.07,0.7722222222222223,80,77,116,0
0.07,-0.295,0.17,0.5166666666666667,77,116,216,0
0.17,0.07,0.38,0.2777777777777778,116,216,64,5
0.38,0.17,0.045,0.9333333333333333,216,64,130,0
0.045,0.38,0.06,0.46111111111111114,64,130,123,0
0.06,0.045,0.27,0.4861111111111111,130,123,81,5
0.27,0.06,0.0,0.7361111111111112,123,81,583,0
0.0,0.27,-1.29,0.10277777777777777,81,583,201,5
-1.29,0.0,-0.015,0.2972222222222222,583,201,201,0
-0.015,-1.29,1.115,0.2972222222222222,201,201,64,5
1.115,-0.015,-0.315,0.9333333333333333,201,64,114,1
-0.315,1.115,1.32,0.5222222222222223,64,114,57,0
1.32,-0.315,0.06,1.038888888888889,114,57,99,1
0.06,1.32,1.17,0.6055555555555555,57,99,52,0
1.17,0.06,-0.085,1.1388888888888888,99,52,107,1
-0.085,1.17,1.305,0.5583333333333333,52,107,58,0
1.305,-0.085,0.0,1.0222222222222221,107,58,114,1
0.0,1.305,1.22,0.5222222222222223,58,114,61,0
1.22,0.0,-0.04,0.9694444444444444,114,61,108,1
-0.04,1.22,1.275,0.5527777777777778,61,108,57,0
1.275,-0.04,-0.02,1.038888888888889,108,57,104,1
-0.02,1.275,1.06,0.5722222222222222,57,104,55,0
1.06,-0.02,-0.12,1.0777777777777777,104,55,103,1
-0.12,1.06,0.94,0.5777777777777777,55,103,61,0
0.94,-0.12,-0.345,0.9722222222222222,103,61,114,1
-0.345,0.94,0.845,0.5222222222222223,61,114,60,0
0.845,-0.345,-0.365,0.9861111111111112,114,60,111,1
-0.365,0.845,1.185,0.5361111111111111,60,111,56,0
1.185,-0.365,-0.215,1.0666666666666667,111,56,100,1
-0.215,1.185,0.985,0.6,56,100,104,0
0.985,-0.215,-0.035,0.5722222222222222,100,104,104,1
-0.035,0.985,0.125,0.5722222222222222,104,104,69,5
0.125,-0.035,0.1,0.8583333333333333,104,69,72,0
0.1,0.125,-0.015,0.8305555555555556,69,72,78,0
-0.015,0.1,0.165,0.7638888888888888,72,78,75,0
0.165,-0.015,0.035,0.7972222222222223,78,75,67,0
0.035,0.165,0.14,0.8944444444444445,75,67,63,0
0.14,0.035,-0.09,0.9472222222222222,67,63,65,0
-0.09,0.14,0.12,0.9194444444444444,63,65,65,0
0.12,-0.09,0.09,0.9138888888888889,65,65,73,0
0.09,0.12,0.14,0.8138888888888889,65,73,78,0
0.14,0.09,-0.135,0.7638888888888888,73,78,74,0
-0.135,0.14,-0.535,0.8055555555555556,78,74,440,0
-0.535,-0.135,0.365,0.1361111111111111,74,440,459,0
0.365,-0.535,-0.075,0.13055555555555556,440,459,85,5
-0.075,0.365,-0.07,0.7,459,85,400,5
-0.07,-0.075,0.24,0.15,85,400,142,0
0.24,-0.07,0.145,0.4222222222222222,400,142,227,5
0.145,0.24,-0.065,0.2638888888888889,142,227,291,5
-0.065,0.145,0.25,0.20555555555555555,227,291,62,5
0.25,-0.065,0.03,0.9583333333333334,291,62,124,0
0.03,0.25,-0.075,0.48333333333333334,62,124,273,0
-0.075,0.03,0.095,0.21944444444444444,124,273,583,5
0.095,-0.075,0.15,0.10277777777777777,273,583,76,5
0.15,0.095,0.22,0.7805555555555556,583,76,75,0
0.22,0.15,0.195,0.7944444444444444,76,75,68,0
0.195,0.22,0.13,0.8777777777777778,75,68,59,0
0.13,0.195,0.23,1.0166666666666666,68,59,65,0
0.23,0.13,2.715,0.9111111111111111,59,65,49,0
2.715,0.23,0.26,1.2083333333333333,65,49,76,1
0.26,2.715,0.015,0.7861111111111111,49,76,75,0
0.015,0.26,0.055,0.7944444444444444,76,75,103,0
0.055,0.015,-0.12,0.5805555555555556,75,103,85,0
-0.12,0.055,1.415,0.7055555555555556,103,85,36,1
1.415,-0.12,-0.18,1.6444444444444444,85,36,57,1
-0.18,1.415,0.05,1.0361111111111112,36,57,68,0
0.05,-0.18,-0.03,0.8777777777777778,57,68,183,0
-0.03,0.05,0.035,0.3277777777777778,68,183,141,0
0.035,-0.03,0.165,0.425,183,141,74,5
0.165,0.035,-0.28,0.8027777777777778,141,74,69,0
-0.28,0.165,0.02,0.8583333333333333,74,69,67,0
0.02,-0.28,0.07,0.8888888888888888,69,67,122,0
0.07,0.02,0.255,0.4888888888888889,67,122,378,0
0.255,0.07,-0.285,0.15833333333333333,122,378,50,5
-0.285,0.255,0.255,1.1777777777777778,378,50,67,1
0.255,-0.285,0.335,0.8833333333333333,50,67,74,0
0.335,0.255,0.22,0.8055555555555556,67,74,117,0
0.22,0.335,1.575,0.5111111111111111,74,117,54,0
1.575,0.22,0.14,1.1,117,54,104,1
0.14,1.575,0.1,0.5722222222222222,54,104,50,0
0.1,0.14,0.23,1.2,104,50,69,1
0.23,0.1,0.04,0.8638888888888889,50,69,69,0
0.04,0.23,-0.03,0.8694444444444445,69,69,75,0
-0.03,0.04,0.2,0.7972222222222223,69,75,76,0
0.2,-0.03,0.22,0.7833333333333333,75,76,76,0
0.22,0.2,0.12,0.7833333333333333,76,76,71,0
0.12,0.22,0.075,0.8388888888888889,76,71,64,0
0.075,0.12,-0.025,0.9361111111111111,71,64,65,0
-0.025,0.075,-0.045,0.9222222222222223,64,65,64,0
-0.045,-0.025,0.075,0.9277777777777778,65,64,77,0
0.075,-0.045,-0.32,0.775,64,77,76,0
-0.32,0.075,-0.185,0.7833333333333333,77,76,75,0
-0.185,-0.32,-0.125,0.7916666666666666,76,75,72,0
-0.125,-0.185,-0.43,0.8305555555555556,75,72,67,0
-0.43,-0.125,-0.115,0.8833333333333333,72,67,70,0
