%1. Title: MIT FULL TESTING
% 
%
%      
%      
%      
%
@RELATION testMIT

@ATTRIBUTE Amplitude   NUMERIC
@ATTRIBUTE 1Behind     NUMERIC
@ATTRIBUTE 1Forward    NUMERIC
@ATTRIBUTE RR          NUMERIC
@ATTRIBUTE HR1Behind   NUMERIC
@ATTRIBUTE HR          NUMERIC
@ATTRIBUTE HR1FORWARD  NUMERIC
@ATTRIBUTE CLASS       {0,1,2,3,4,5}

@DATA
-0.32,-0.375,-0.265,0.875,69,68,67,0
-0.265,-0.32,-0.19,0.8916666666666667,68,67,64,0
-0.19,-0.265,-0.21,0.9333333333333333,67,64,62,0
-0.21,-0.19,-0.22,0.9555555555555556,64,62,66,0
-0.22,-0.21,-0.155,0.9,62,66,69,0
-0.155,-0.22,-0.21,0.8694444444444445,66,69,69,0
-0.21,-0.155,-0.2,0.8694444444444445,69,69,69,0
-0.2,-0.21,-0.21,0.8611111111111112,69,69,65,0
-0.21,-0.2,-0.22,0.9138888888888889,69,65,65,0
-0.22,-0.21,-0.17,0.9166666666666666,65,65,65,0
-0.17,-0.22,-0.165,0.9138888888888889,65,65,66,0
-0.165,-0.17,-0.18,0.8972222222222223,65,66,66,0
-0.18,-0.165,-0.175,0.9055555555555556,66,66,67,0
-0.175,-0.18,-0.19,0.8861111111111111,66,67,69,0
-0.19,-0.175,-0.085,0.8694444444444445,67,69,65,0
-0.085,-0.19,-0.165,0.9111111111111111,69,65,65,0
-0.165,-0.085,-0.2,0.9138888888888889,65,65,66,0
-0.2,-0.165,-0.15,0.9027777777777778,65,66,70,0
-0.15,-0.2,-0.19,0.8472222222222222,66,70,71,0
-0.19,-0.15,-0.205,0.8388888888888889,70,71,69,0
-0.205,-0.19,-0.22,0.8694444444444445,71,69,67,0
-0.22,-0.205,-0.18,0.8888888888888888,69,67,66,0
-0.18,-0.22,-0.22,0.8972222222222223,67,66,67,0
-0.22,-0.18,-0.21,0.8861111111111111,66,67,69,0
-0.21,-0.22,-0.245,0.8583333333333333,67,69,70,0
-0.245,-0.21,-0.09,0.8527777777777777,69,70,70,0
-0.09,-0.245,-0.175,0.8472222222222222,70,70,73,0
-0.175,-0.09,-0.145,0.8194444444444444,70,73,70,0
-0.145,-0.175,-0.17,0.8527777777777777,73,70,66,0
-0.17,-0.145,-0.19,0.9027777777777778,70,66,65,0
-0.19,-0.17,-0.175,0.9111111111111111,66,65,69,0
-0.175,-0.19,-0.185,0.8583333333333333,65,69,71,0
-0.185,-0.175,-0.22,0.8388888888888889,69,71,73,0
-0.22,-0.185,-0.2,0.8138888888888889,71,73,75,0
-0.2,-0.22,-0.185,0.7916666666666666,73,75,74,0
-0.185,-0.2,-0.16,0.8055555555555556,75,74,74,0
-0.16,-0.185,-0.145,0.8055555555555556,74,74,75,0
-0.145,-0.16,-0.15,0.8,74,75,76,0
-0.15,-0.145,-0.17,0.7861111111111111,75,76,74,0
-0.17,-0.15,-0.12,0.8055555555555556,76,74,79,0
-0.12,-0.17,-0.125,0.7555555555555555,74,79,78,0
-0.125,-0.12,-0.135,0.7611111111111111,79,78,76,0
-0.135,-0.125,-0.07,0.7861111111111111,78,76,74,0
-0.07,-0.135,-0.155,0.8055555555555556,76,74,71,0
-0.155,-0.07,-0.13,0.8416666666666667,74,71,70,0
-0.13,-0.155,-0.14,0.8527777777777777,71,70,76,0
-0.14,-0.13,-0.13,0.7861111111111111,70,76,79,0
-0.13,-0.14,-0.155,0.7555555555555555,76,79,77,0
-0.155,-0.13,-0.2,0.775,79,77,75,0
